1724169344076533600,1,0.00,78.17,54.86,70.29,1,1,1.000000
1724169344153392400,1,0.00,69.12,85.00,109.19,1,1,1.000000
1724169344228474100,1,0.23,70.99,115.90,112.48,1,1,1.000000
1724169344228474100,2,0.00,0.00,243.62,46.18,1,1,1.000000
1724169344273829600,1,0.13,68.39,163.75,128.51,1,1,1.000000
1724169344273829600,2,0.00,0.00,292.92,50.30,1,1,1.000000
1724169344351641000,1,0.14,68.76,189.85,136.97,1,1,1.000000
1724169344351641000,2,0.15,0.00,334.11,43.38,1,1,1.000000
1724169344382647900,1,0.00,68.83,216.15,149.94,1,1,1.000000
1724169344382647900,2,1.11,0.00,385.54,56.00,1,1,1.000000
1724169344472940300,1,0.00,67.94,246.14,157.25,1,1,1.000000
1724169344472940300,2,13.79,0.00,406.85,57.93,1,1,1.000000
1724169344503248100,1,0.00,68.86,267.07,156.33,1,1,1.000000
1724169344503248100,2,80.88,0.00,380.35,46.14,1,1,1.000000
1724169344548514300,1,0.00,66.80,286.41,166.89,1,1,1.000000
1724169344548514300,2,99.37,0.00,374.20,43.08,1,1,1.000000
1724169344623855000,1,0.00,64.83,305.64,158.03,1,1,1.000000
1724169344623855000,2,120.78,0.11,373.07,40.91,1,1,1.000000
1724169344713568200,1,0.18,63.11,328.09,155.58,1,1,1.000000
1724169344789889500,1,0.57,60.59,357.72,153.57,1,1,1.000000
1724169344835772600,1,0.73,54.22,381.20,155.20,1,1,1.000000
1724169344914276900,1,0.51,52.01,407.01,149.58,1,1,1.000000
1724169344957934300,1,0.77,46.70,428.71,145.96,1,1,1.000000
1724169345033748700,1,0.89,43.50,464.67,146.05,1,1,1.000000
1724169345063843300,1,0.02,37.58,499.70,158.88,1,1,1.000000
1724169345153792300,1,1.83,31.36,512.14,169.73,1,1,1.000000
1724169345184171400,1,5.04,25.60,531.34,169.30,1,1,1.000000
1724169345184171400,3,0.40,12.92,175.33,100.73,1,1,1.000000
1724169345274445500,1,1.96,16.08,565.65,177.76,1,1,1.000000
1724169345274445500,3,0.28,1.88,229.82,134.67,1,1,1.000000
