1724168095316853200,1,515.33,577.53,225.22,63.64,1,2,1.000000
1724168095316853200,2,536.30,630.73,45.43,24.98,1,1,1.000000
1724168095316853200,3,581.66,619.23,72.66,27.77,1,1,1.000000
1724168095390425800,1,512.05,578.79,231.81,62.40,1,2,1.000000
1724168095390425800,2,537.18,627.91,49.63,24.77,1,1,1.000000
1724168095390425800,3,576.56,618.81,83.27,30.96,1,1,1.000000
1724168095446020100,1,512.71,580.83,232.63,60.64,1,2,1.000000
1724168095523837000,1,515.28,585.00,224.20,53.87,1,2,1.000000
1724168095570949100,1,513.64,585.78,223.36,53.67,1,2,1.000000
1724168095636032600,1,510.21,589.56,219.86,47.88,1,2,1.000000
1724168095636032600,3,548.86,619.77,96.88,35.23,1,1,1.000000
1724168095701186900,1,508.86,595.94,209.07,41.03,1,2,1.000000
1724168095701186900,3,551.95,619.69,93.33,35.19,1,1,1.000000
1724168095767937600,1,506.09,596.52,211.42,41.11,1,2,1.000000
1724168095767937600,3,558.66,618.53,86.55,34.28,1,1,1.000000
1724168095832901200,1,506.08,598.04,208.88,38.54,1,2,1.000000
1724168095832901200,3,561.70,617.61,86.44,34.85,1,1,1.000000
1724168095832901200,5,561.95,619.69,84.81,32.66,1,1,1.000000
1724168095897507200,1,506.08,598.20,210.19,37.91,1,2,1.000000
1724168095956346800,1,505.14,597.75,213.30,42.09,1,2,1.000000
1724168095956346800,3,567.52,619.05,89.98,34.30,1,1,1.000000
1724168096019048700,1,505.19,599.73,203.67,39.18,1,2,1.000000
1724168096019048700,3,540.12,620.57,117.53,35.09,1,1,1.000000
1724168096083985600,1,507.81,599.66,206.61,38.99,1,2,1.000000
1724168096144616800,1,506.95,600.35,202.67,37.96,1,2,1.000000
1724168096144616800,3,554.50,621.70,103.18,32.67,1,1,1.000000
1724168096213010000,1,504.65,599.46,207.75,37.46,1,2,1.000000
1724168096213010000,3,586.35,621.70,69.35,28.09,1,1,1.000000
1724168096273518100,1,507.75,599.00,205.98,37.49,1,2,1.000000
1724168096273518100,3,584.12,620.85,66.93,29.57,1,1,1.000000
1724168096351232500,1,505.81,598.25,208.46,38.69,1,2,1.000000
1724168096351232500,3,584.60,620.52,63.44,29.97,1,1,1.000000
1724168096401891100,1,505.03,597.39,211.59,38.59,1,2,1.000000
1724168096401891100,3,585.74,620.98,63.40,28.86,1,1,1.000000
1724168096470499900,1,507.29,599.11,199.37,37.96,1,2,1.000000
1724168096470499900,3,578.87,620.96,69.51,28.71,1,1,1.000000
1724168096530436200,1,506.98,596.93,209.65,39.30,1,2,1.000000
1724168096530436200,3,580.42,619.40,70.31,29.91,1,1,1.000000
1724168096594686100,1,508.07,597.40,208.17,40.49,1,2,1.000000
1724168096594686100,3,585.37,621.01,63.66,27.48,1,1,1.000000
1724168096659992600,1,506.32,596.10,211.20,41.94,1,2,1.000000
1724168096659992600,3,582.96,620.94,61.68,25.51,1,1,1.000000
1724168096724056300,1,507.36,596.55,209.91,41.32,1,2,1.000000
1724168096724056300,3,577.88,622.15,65.32,24.63,1,1,1.000000
1724168096724056300,12,532.68,639.76,23.26,11.81,1,1,1.000000
1724168096792540400,1,509.14,594.09,210.22,45.23,1,2,1.000000
1724168096792540400,3,584.91,622.23,56.91,24.26,1,1,1.000000
1724168096854361500,1,506.59,595.21,211.19,43.26,1,2,1.000000
1724168096854361500,3,587.26,623.44,53.21,19.37,1,1,1.000000
1724168096854361500,12,533.41,639.96,25.02,16.44,1,1,1.000000
1724168096917174300,1,507.84,592.56,217.41,47.41,1,2,1.000000
1724168096917174300,3,584.05,625.29,55.68,16.03,1,1,1.000000
1724168096917174300,12,534.04,638.66,27.79,17.06,1,1,1.000000
1724168096988293000,1,507.09,594.41,208.38,44.37,1,2,1.000000
1724168096988293000,3,585.81,626.06,46.57,14.70,1,1,1.000000
1724168096988293000,12,534.37,640.41,29.77,16.92,1,1,1.000000
1724168097044558300,1,506.03,594.57,211.68,43.02,1,2,1.000000
1724168097044558300,12,535.38,639.93,29.88,19.12,1,1,1.000000
1724168097111118300,1,508.74,593.68,212.91,43.48,1,2,1.000000
1724168097111118300,12,540.15,640.63,29.52,20.02,1,1,1.000000
1724168097173927900,1,511.48,593.85,204.20,45.16,1,2,1.000000
1724168097173927900,12,537.13,638.90,44.10,22.34,1,1,1.000000
1724168097234278900,1,510.25,592.05,213.13,47.44,1,2,1.000000
1724168097234278900,12,538.78,639.24,42.05,24.29,1,1,1.000000
1724168097304526300,1,509.66,593.29,208.86,43.58,1,2,1.000000
1724168097304526300,12,536.23,635.73,51.13,27.52,1,1,1.000000
1724168097362809400,1,510.71,593.51,207.52,44.90,1,2,1.000000
1724168097362809400,12,542.75,636.10,49.63,27.36,1,1,1.000000
1724168097428563000,1,508.40,593.52,212.82,45.38,1,2,1.000000
1724168097428563000,12,543.81,630.94,59.08,32.77,1,1,1.000000
1724168097501868000,1,510.47,593.85,211.88,45.23,1,2,1.000000
1724168097501868000,12,544.57,632.99,58.04,29.78,1,1,1.000000
1724168097553550900,1,507.79,592.53,214.86,46.58,1,2,1.000000
