                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6707,                 2.4339,                 1.6302,                0.49555,                0.23985,                0.25865,                0.15243,                  1.622,                 2.5993,                 1.5556,               0.007756,               0.007756,               0.007756
                     36,                 1.6612,                 2.4068,                 1.6242,                0.59807,                 0.2435,                0.27218,                0.16231,                  1.616,                 2.5379,                 1.5579,                0.00769,                0.00769,                0.00769
                     37,                 1.6549,                 2.3917,                  1.613,                0.56251,                0.24723,                0.27709,                0.16528,                 1.6113,                 2.5229,                 1.5516,               0.007624,               0.007624,               0.007624
                     38,                 1.6496,                 2.3743,                 1.6147,                 0.5293,                0.25736,                0.28868,                0.17302,                 1.5867,                 2.4769,                 1.5313,               0.007558,               0.007558,               0.007558
                     39,                  1.637,                 2.3473,                  1.611,                0.57986,                0.27055,                0.30204,                0.18178,                 1.5807,                 2.4313,                 1.5291,               0.007492,               0.007492,               0.007492
                     40,                 1.6328,                  2.334,                 1.6005,                0.55332,                0.26193,                0.30185,                 0.1834,                 1.5753,                  2.425,                 1.5198,               0.007426,               0.007426,               0.007426
                     41,                 1.6221,                 2.3293,                 1.5922,                0.54931,                0.29409,                0.31279,                0.19019,                 1.5599,                 2.3939,                 1.5093,                0.00736,                0.00736,                0.00736
                     42,                 1.6171,                 2.2908,                 1.5886,                0.55103,                0.28616,                0.32287,                0.19529,                 1.5619,                 2.3698,                 1.5085,               0.007294,               0.007294,               0.007294
                     43,                 1.6094,                 2.2679,                 1.5839,                0.52186,                0.31362,                0.33168,                0.20228,                 1.5486,                 2.3304,                 1.4986,               0.007228,               0.007228,               0.007228
                     44,                 1.5995,                 2.2468,                 1.5762,                 0.5291,                0.32727,                0.33973,                0.20953,                 1.5394,                 2.3115,                  1.499,               0.007162,               0.007162,               0.007162
                     45,                  1.593,                 2.2168,                 1.5691,                0.53535,                0.33045,                0.34921,                0.21388,                 1.5417,                 2.2881,                 1.5006,               0.007096,               0.007096,               0.007096
                     46,                  1.587,                 2.1922,                 1.5659,                 0.5419,                 0.3404,                0.35904,                0.22098,                 1.5312,                 2.2564,                 1.4902,                0.00703,                0.00703,                0.00703
                     47,                 1.5864,                 2.1651,                 1.5656,                0.57002,                0.34344,                0.37205,                0.22857,                 1.5287,                 2.2285,                 1.4895,               0.006964,               0.006964,               0.006964
                     48,                 1.5782,                 2.1286,                 1.5553,                 0.5593,                0.35279,                0.37917,                0.23405,                 1.5183,                 2.2122,                  1.485,               0.006898,               0.006898,               0.006898
                     49,                 1.5781,                 2.1166,                 1.5561,                0.57008,                0.34494,                0.38125,                0.23562,                 1.5158,                 2.1984,                 1.4826,               0.006832,               0.006832,               0.006832
                     50,                  1.569,                 2.0884,                 1.5553,                  0.571,                0.35236,                0.38999,                0.24152,                  1.508,                  2.187,                 1.4778,               0.006766,               0.006766,               0.006766
                     51,                 1.5599,                 2.0577,                 1.5486,                0.57997,                0.36322,                0.40149,                0.24831,                 1.5001,                 2.1432,                 1.4738,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.5571,                 2.0386,                 1.5433,                0.58999,                0.36936,                0.41043,                0.25483,                 1.4938,                 2.1146,                 1.4675,               0.006634,               0.006634,               0.006634
                     53,                 1.5466,                 2.0109,                 1.5337,                0.58692,                0.37569,                0.41376,                 0.2568,                 1.4884,                 2.1034,                 1.4663,               0.006568,               0.006568,               0.006568
                     54,                 1.5397,                 1.9939,                 1.5377,                0.58632,                  0.381,                0.41972,                0.26135,                 1.4833,                 2.0841,                 1.4635,               0.006502,               0.006502,               0.006502
                     55,                 1.5374,                 1.9692,                 1.5332,                0.58144,                0.38277,                0.42438,                0.26565,                 1.4808,                 2.0765,                 1.4608,               0.006436,               0.006436,               0.006436
                     56,                 1.5307,                 1.9568,                 1.5283,                0.59311,                0.38677,                0.42882,                0.26892,                 1.4777,                 2.0617,                 1.4601,                0.00637,                0.00637,                0.00637
                     57,                 1.5274,                 1.9294,                 1.5223,                0.60354,                0.38742,                0.43438,                 0.2731,                 1.4708,                 2.0416,                 1.4543,               0.006304,               0.006304,               0.006304
                     58,                  1.516,                 1.9116,                 1.5158,                0.61256,                0.39595,                0.44684,                0.28104,                 1.4669,                 2.0114,                 1.4507,               0.006238,               0.006238,               0.006238
                     59,                 1.5218,                 1.8812,                 1.5175,                0.60955,                0.39571,                 0.4469,                0.28183,                 1.4633,                 2.0104,                 1.4462,               0.006172,               0.006172,               0.006172
                     60,                 1.5094,                 1.8594,                 1.5114,                0.61478,                0.40015,                0.45198,                0.28461,                 1.4575,                 1.9945,                 1.4415,               0.006106,               0.006106,               0.006106
                     61,                 1.5067,                 1.8525,                 1.5044,                0.61624,                0.40126,                0.45307,                0.28617,                 1.4528,                 1.9879,                 1.4373,                0.00604,                0.00604,                0.00604
                     62,                  1.497,                 1.8314,                 1.5009,                0.61821,                0.40814,                0.45899,                0.29145,                 1.4462,                 1.9716,                 1.4334,               0.005974,               0.005974,               0.005974
                     63,                 1.4936,                 1.8248,                 1.4949,                0.61998,                0.40946,                0.46277,                 0.2932,                  1.446,                 1.9682,                 1.4338,               0.005908,               0.005908,               0.005908
                     64,                 1.4839,                 1.7962,                  1.488,                 0.6184,                0.41306,                0.46467,                0.29522,                 1.4443,                 1.9623,                 1.4316,               0.005842,               0.005842,               0.005842
                     65,                  1.477,                 1.7742,                 1.4817,                0.62562,                0.41427,                0.46921,                0.29911,                 1.4382,                 1.9488,                 1.4268,               0.005776,               0.005776,               0.005776
                     66,                  1.471,                 1.7564,                 1.4848,                0.62673,                0.42179,                0.47497,                0.30324,                 1.4336,                 1.9367,                 1.4235,                0.00571,                0.00571,                0.00571
                     67,                 1.4688,                 1.7497,                 1.4755,                0.62854,                0.42483,                0.47891,                 0.3062,                 1.4291,                  1.924,                 1.4204,               0.005644,               0.005644,               0.005644
                     68,                 1.4647,                 1.7346,                 1.4735,                0.63411,                0.42592,                0.48124,                0.30802,                 1.4258,                 1.9164,                 1.4173,               0.005578,               0.005578,               0.005578
                     69,                 1.4585,                 1.7321,                 1.4712,                0.64189,                0.42645,                0.48295,                0.30979,                 1.4222,                 1.9148,                 1.4152,               0.005512,               0.005512,               0.005512
                     70,                 1.4591,                 1.7125,                 1.4706,                0.64196,                0.43023,                0.48708,                0.31192,                 1.4221,                 1.9047,                 1.4157,               0.005446,               0.005446,               0.005446
                     71,                 1.4519,                 1.7013,                 1.4681,                0.64187,                0.43284,                0.49037,                 0.3155,                 1.4178,                 1.8911,                  1.414,                0.00538,                0.00538,                0.00538
                     72,                 1.4421,                 1.6824,                 1.4557,                0.64835,                0.43347,                0.49331,                0.31835,                 1.4135,                 1.8813,                 1.4099,               0.005314,               0.005314,               0.005314
                     73,                  1.442,                 1.6748,                 1.4528,                0.64383,                0.43627,                0.49493,                0.31947,                 1.4127,                 1.8818,                 1.4084,               0.005248,               0.005248,               0.005248
                     74,                  1.435,                 1.6562,                 1.4522,                0.64222,                0.43947,                 0.4969,                0.32175,                  1.409,                 1.8774,                  1.406,               0.005182,               0.005182,               0.005182
                     75,                 1.4333,                 1.6505,                 1.4458,                0.64637,                 0.4389,                0.49891,                0.32344,                 1.4053,                 1.8703,                 1.4018,               0.005116,               0.005116,               0.005116
                     76,                 1.4291,                 1.6326,                 1.4485,                0.64184,                0.44049,                0.49982,                0.32474,                 1.4018,                 1.8658,                 1.3994,                0.00505,                0.00505,                0.00505
                     77,                 1.4183,                 1.6191,                 1.4367,                0.64911,                0.44321,                0.50269,                0.32697,                 1.3994,                 1.8593,                 1.3972,               0.004984,               0.004984,               0.004984
                     78,                  1.415,                 1.6205,                 1.4398,                0.64205,                0.44641,                0.50479,                0.32816,                 1.3979,                 1.8525,                  1.396,               0.004918,               0.004918,               0.004918
                     79,                 1.4094,                 1.6007,                 1.4343,                0.64976,                 0.4455,                0.50711,                0.33003,                 1.3958,                 1.8454,                 1.3943,               0.004852,               0.004852,               0.004852
                     80,                 1.4063,                 1.5825,                 1.4295,                0.64898,                0.44805,                0.51042,                0.33226,                 1.3932,                 1.8414,                 1.3928,               0.004786,               0.004786,               0.004786
                     81,                  1.405,                 1.5733,                 1.4219,                0.64567,                0.45138,                0.51219,                0.33402,                 1.3915,                 1.8396,                 1.3904,                0.00472,                0.00472,                0.00472
                     82,                 1.3937,                 1.5612,                 1.4204,                0.64534,                0.45183,                0.51341,                0.33537,                 1.3896,                 1.8385,                  1.389,               0.004654,               0.004654,               0.004654
                     83,                 1.3928,                 1.5537,                 1.4181,                0.64647,                0.45432,                0.51464,                0.33653,                 1.3885,                 1.8358,                 1.3874,               0.004588,               0.004588,               0.004588
                     84,                 1.3922,                 1.5462,                 1.4154,                0.64675,                0.45609,                0.51646,                0.33842,                  1.385,                 1.8302,                 1.3853,               0.004522,               0.004522,               0.004522
                     85,                 1.3848,                 1.5365,                 1.4132,                0.65026,                0.45649,                0.51847,                0.34018,                 1.3829,                 1.8253,                 1.3843,               0.004456,               0.004456,               0.004456
                     86,                 1.3819,                 1.5344,                 1.4123,                0.65325,                0.45987,                0.52112,                0.34199,                 1.3808,                  1.819,                 1.3828,                0.00439,                0.00439,                0.00439
                     87,                 1.3763,                 1.5238,                  1.407,                0.65904,                0.45966,                0.52261,                0.34357,                 1.3788,                 1.8151,                  1.381,               0.004324,               0.004324,               0.004324
                     88,                 1.3699,                 1.5028,                 1.4024,                0.66131,                0.46091,                0.52462,                0.34525,                 1.3767,                 1.8114,                 1.3793,               0.004258,               0.004258,               0.004258
                     89,                 1.3677,                 1.4981,                 1.3968,                0.66274,                0.46132,                0.52587,                0.34649,                 1.3743,                 1.8094,                 1.3772,               0.004192,               0.004192,               0.004192
                     90,                 1.3657,                 1.4947,                 1.3966,                0.66799,                0.46155,                0.52725,                0.34751,                 1.3718,                 1.8068,                 1.3756,               0.004126,               0.004126,               0.004126
                     91,                 1.3524,                 1.4742,                 1.3872,                0.66773,                0.46295,                0.52845,                0.34853,                 1.3707,                 1.8025,                 1.3745,                0.00406,                0.00406,                0.00406
                     92,                 1.3555,                 1.4718,                 1.3856,                0.66804,                0.46562,                   0.53,                0.34989,                 1.3689,                  1.799,                 1.3733,               0.003994,               0.003994,               0.003994
                     93,                 1.3438,                  1.455,                 1.3812,                0.67119,                0.46592,                0.53111,                0.35092,                 1.3671,                  1.797,                 1.3717,               0.003928,               0.003928,               0.003928
                     94,                 1.3478,                 1.4444,                 1.3801,                 0.6728,                0.46748,                0.53233,                0.35186,                 1.3653,                 1.7943,                   1.37,               0.003862,               0.003862,               0.003862
                     95,                 1.3483,                 1.4503,                 1.3808,                0.66896,                0.47006,                0.53357,                  0.353,                 1.3633,                   1.79,                 1.3683,               0.003796,               0.003796,               0.003796
                     96,                 1.3392,                  1.428,                 1.3712,                0.67191,                0.46978,                0.53479,                0.35422,                 1.3615,                 1.7866,                 1.3668,                0.00373,                0.00373,                0.00373
                     97,                 1.3404,                 1.4253,                 1.3732,                0.67307,                 0.4703,                0.53562,                0.35516,                 1.3603,                 1.7854,                  1.366,               0.003664,               0.003664,               0.003664
                     98,                 1.3321,                 1.4235,                  1.369,                0.67422,                0.47101,                0.53648,                0.35609,                 1.3586,                  1.784,                 1.3649,               0.003598,               0.003598,               0.003598
                     99,                 1.3254,                 1.4106,                 1.3651,                0.67478,                0.47155,                0.53732,                 0.3567,                 1.3574,                 1.7841,                 1.3641,               0.003532,               0.003532,               0.003532
                    100,                 1.3286,                 1.4052,                 1.3644,                0.67473,                0.47285,                0.53842,                0.35753,                 1.3564,                 1.7827,                 1.3634,               0.003466,               0.003466,               0.003466
                    101,                 1.3235,                 1.3901,                 1.3611,                0.67851,                0.47248,                 0.5394,                0.35808,                 1.3554,                 1.7822,                 1.3627,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.3177,                 1.3882,                 1.3599,                 0.6782,                0.47366,                0.54035,                0.35881,                  1.354,                 1.7815,                 1.3618,               0.003334,               0.003334,               0.003334
                    103,                 1.3228,                 1.3872,                 1.3585,                0.67684,                0.47469,                0.54092,                0.35956,                 1.3528,                 1.7811,                 1.3611,               0.003268,               0.003268,               0.003268
                    104,                 1.3126,                 1.3704,                 1.3541,                0.67814,                0.47417,                0.54147,                0.36001,                 1.3521,                 1.7809,                 1.3604,               0.003202,               0.003202,               0.003202
