                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76282,                0.51775,                 1.1732,                0.94556,                 0.8547,                0.92439,                0.58495,                 1.3549,                0.75773,                 1.7846,              0.0072775,              0.0072775,              0.0072775
                     35,                0.75592,                0.51087,                 1.1686,                0.94448,                0.87179,                0.94321,                0.61378,                 1.3332,                0.74034,                 1.7761,               0.007195,               0.007195,               0.007195
                     36,                0.74921,                0.50409,                 1.1522,                0.91033,                0.91106,                0.95769,                0.60761,                 1.3462,                0.73319,                 1.7491,              0.0071125,              0.0071125,              0.0071125
                     37,                0.73907,                0.49176,                 1.1371,                0.95345,                0.86325,                 0.9498,                0.61476,                 1.3553,                0.74298,                 1.7851,                0.00703,                0.00703,                0.00703
                     38,                0.70793,                0.48984,                 1.1226,                0.90761,                0.88167,                0.95085,                 0.5978,                 1.3593,                0.74774,                 1.8237,              0.0069475,              0.0069475,              0.0069475
                     39,                0.71013,                0.48494,                   1.12,                0.93463,                0.88462,                0.95792,                 0.6035,                 1.3852,                0.75815,                 1.7841,               0.006865,               0.006865,               0.006865
                     40,                0.67699,                0.47089,                 1.0935,                0.96028,                0.83333,                0.94482,                0.61176,                 1.3344,                0.76947,                  1.767,              0.0067825,              0.0067825,              0.0067825
                     41,                0.68234,                0.46851,                 1.0963,                0.92066,                0.89744,                0.94154,                0.60676,                 1.3171,                0.72651,                 1.7349,                 0.0067,                 0.0067,                 0.0067
                     42,                0.64249,                0.45195,                 1.0604,                0.95014,                0.89581,                0.94135,                0.60973,                 1.3538,                0.73644,                 1.8173,              0.0066175,              0.0066175,              0.0066175
                     43,                0.65486,                0.46202,                 1.0666,                0.93264,                0.88749,                0.94629,                0.61194,                 1.3443,                0.75803,                 1.7567,               0.006535,               0.006535,               0.006535
                     44,                0.64709,                0.45868,                  1.058,                0.94277,                0.84615,                0.94083,                0.59937,                 1.3632,                0.74655,                 1.8558,              0.0064525,              0.0064525,              0.0064525
                     45,                0.63167,                0.44936,                 1.0474,                0.92687,                0.88462,                0.93791,                0.62166,                 1.3444,                0.72038,                 1.8283,                0.00637,                0.00637,                0.00637
                     46,                0.61581,                0.43748,                 1.0321,                0.95767,                0.87019,                0.94266,                0.61083,                 1.3437,                0.72491,                 1.7828,              0.0062875,              0.0062875,              0.0062875
                     47,                0.60894,                 0.4333,                 1.0287,                0.95827,                0.88332,                0.95075,                0.60527,                  1.351,                0.72625,                 1.8289,               0.006205,               0.006205,               0.006205
                     48,                0.59347,                0.43313,                 1.0185,                0.94355,                0.88034,                0.94867,                0.61442,                 1.3418,                0.72042,                 1.8019,              0.0061225,              0.0061225,              0.0061225
                     49,                0.58478,                0.42213,                   1.01,                0.90581,                0.91026,                0.94765,                0.61365,                 1.3204,                0.70047,                 1.7972,                0.00604,                0.00604,                0.00604
