epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,521.567,0.19399,0.27609,0.05974,0.95803,0.94194,0.97702,0.73899,0.29342,0.37174,0.15559,0.00450422,0.00450422,0.00450422
43,533.353,0.21991,0.29161,0.06876,0.95903,0.93978,0.97874,0.77443,0.2509,0.35318,0.14074,0.00448063,0.00448063,0.00448063
44,545.052,0.19346,0.27538,0.06219,0.95602,0.95484,0.9831,0.77368,0.25757,0.33831,0.1429,0.00445657,0.00445657,0.00445657
45,556.63,0.17787,0.26229,0.06063,0.95647,0.94516,0.98188,0.75085,0.27991,0.3588,0.15051,0.00443202,0.00443202,0.00443202
46,568.381,0.17752,0.26068,0.05705,0.9458,0.93548,0.97437,0.7657,0.2608,0.35214,0.14643,0.004407,0.004407,0.004407
47,580.042,0.15991,0.24619,0.05287,0.94932,0.93763,0.9789,0.77349,0.25821,0.35099,0.14169,0.00438152,0.00438152,0.00438152
48,592.14,0.1601,0.24862,0.05123,0.9546,0.94953,0.98042,0.73972,0.28894,0.37694,0.15068,0.00435559,0.00435559,0.00435559
49,604.435,0.19591,0.27529,0.06123,0.95387,0.94624,0.97989,0.72865,0.29837,0.39612,0.15299,0.0043292,0.0043292,0.0043292
50,616.707,0.19734,0.2789,0.06555,0.95844,0.94222,0.97548,0.68899,0.3401,0.43161,0.16814,0.00430236,0.00430236,0.00430236
51,628.435,0.22082,0.29407,0.06571,0.9324,0.95914,0.97271,0.72538,0.30086,0.37779,0.1529,0.00427509,0.00427509,0.00427509
52,640.028,0.20306,0.28255,0.06284,0.94128,0.96531,0.97888,0.70107,0.33386,0.40288,0.16237,0.00424738,0.00424738,0.00424738
53,651.503,0.17263,0.25329,0.05352,0.95103,0.9605,0.97734,0.68683,0.34148,0.44157,0.16189,0.00421925,0.00421925,0.00421925
54,663.181,0.19466,0.27647,0.05882,0.94528,0.95484,0.97685,0.75,0.27782,0.36553,0.14826,0.00419071,0.00419071,0.00419071
55,674.839,0.16508,0.25157,0.05001,0.94689,0.95851,0.97634,0.76718,0.26496,0.35599,0.14089,0.00416175,0.00416175,0.00416175
56,686.217,0.15897,0.24751,0.0502,0.96108,0.9558,0.97937,0.77754,0.24767,0.36105,0.13498,0.00413238,0.00413238,0.00413238
57,698.004,0.20168,0.2812,0.05806,0.95609,0.95484,0.97713,0.75503,0.27782,0.36041,0.14941,0.00410262,0.00410262,0.00410262
58,709.682,0.18635,0.2678,0.0528,0.96275,0.94486,0.97353,0.73225,0.29994,0.37982,0.149,0.00407248,0.00407248,0.00407248
59,721.216,0.19887,0.28074,0.05796,0.96695,0.94376,0.97814,0.78075,0.24912,0.34915,0.13873,0.00404194,0.00404194,0.00404194
60,733.089,0.15656,0.24353,0.04932,0.94676,0.95699,0.97657,0.76306,0.27018,0.3725,0.1515,0.00401104,0.00401104,0.00401104
61,745.532,0.16389,0.24859,0.05477,0.94837,0.94194,0.97635,0.7595,0.26975,0.36865,0.14727,0.00397977,0.00397977,0.00397977
62,759.973,0.1862,0.26909,0.0562,0.94168,0.95054,0.97384,0.72677,0.30301,0.39768,0.15487,0.00394814,0.00394814,0.00394814
63,771.526,0.1817,0.26481,0.05639,0.95399,0.93639,0.97615,0.75568,0.26973,0.37163,0.14021,0.00391616,0.00391616,0.00391616
64,782.937,0.18964,0.27078,0.05692,0.95369,0.94194,0.9798,0.74403,0.2914,0.36643,0.15462,0.00388383,0.00388383,0.00388383
65,794.35,0.14095,0.22811,0.04296,0.94278,0.95668,0.97926,0.71337,0.32042,0.41559,0.15972,0.00385117,0.00385117,0.00385117
66,806.05,0.17653,0.26079,0.04994,0.95266,0.95209,0.98014,0.76278,0.2594,0.37173,0.14158,0.00381818,0.00381818,0.00381818
67,817.594,0.14833,0.23622,0.04521,0.95344,0.93978,0.97338,0.77235,0.25441,0.36059,0.13849,0.00378488,0.00378488,0.00378488
68,829.069,0.14798,0.23612,0.0434,0.95485,0.95499,0.98067,0.76232,0.27066,0.3802,0.14567,0.00375126,0.00375126,0.00375126
69,840.671,0.16078,0.24636,0.04822,0.95889,0.95303,0.98072,0.76529,0.25907,0.36089,0.13761,0.00371734,0.00371734,0.00371734
70,852.453,0.14847,0.23681,0.04573,0.95556,0.95699,0.97792,0.78261,0.24244,0.36341,0.13179,0.00368313,0.00368313,0.00368313
71,864.546,0.1298,0.21748,0.04232,0.94726,0.96569,0.98532,0.75963,0.25876,0.37516,0.13876,0.00364863,0.00364863,0.00364863
72,875.804,0.17253,0.25889,0.04985,0.95831,0.95699,0.98121,0.76042,0.27217,0.37887,0.14494,0.00361385,0.00361385,0.00361385
73,887.434,0.13986,0.22751,0.04322,0.96645,0.93978,0.97883,0.76137,0.25971,0.36567,0.13963,0.0035788,0.0035788,0.0035788
74,898.808,0.14109,0.22945,0.04521,0.97163,0.94624,0.98185,0.7766,0.25193,0.34889,0.13998,0.0035435,0.0035435,0.0035435
75,910.605,0.12824,0.2139,0.03963,0.97338,0.94839,0.9819,0.76318,0.26581,0.38858,0.14187,0.00350794,0.00350794,0.00350794
76,922.256,0.1229,0.21173,0.03979,0.9571,0.95968,0.97765,0.77456,0.25229,0.3705,0.13945,0.00347214,0.00347214,0.00347214
77,933.886,0.13327,0.22056,0.04499,0.95497,0.95782,0.97825,0.75706,0.27253,0.37948,0.14573,0.00343611,0.00343611,0.00343611
78,945.354,0.12042,0.20754,0.03827,0.95046,0.94902,0.97954,0.78018,0.2435,0.3646,0.13359,0.00339985,0.00339985,0.00339985
79,957.195,0.1112,0.19456,0.03466,0.95103,0.94624,0.97974,0.77899,0.24872,0.36802,0.13704,0.00336338,0.00336338,0.00336338
80,968.582,0.12956,0.21713,0.03907,0.95061,0.95204,0.97788,0.77368,0.25626,0.36409,0.14294,0.0033267,0.0033267,0.0033267
81,980.088,0.11156,0.1974,0.03526,0.9585,0.95269,0.9784,0.74466,0.27686,0.39064,0.14652,0.00328982,0.00328982,0.00328982
82,991.62,0.13409,0.21944,0.04331,0.96901,0.94131,0.9783,0.77491,0.25108,0.36775,0.13834,0.00325275,0.00325275,0.00325275
83,1003.29,0.10649,0.19015,0.03384,0.9488,0.9565,0.98258,0.77468,0.26241,0.37839,0.14728,0.0032155,0.0032155,0.0032155
84,1015.06,0.10928,0.1948,0.03362,0.95891,0.94409,0.98,0.76973,0.26219,0.38421,0.14331,0.00317809,0.00317809,0.00317809
85,1026.62,0.10999,0.19624,0.0342,0.94924,0.96529,0.98399,0.78219,0.24572,0.37625,0.13456,0.00314051,0.00314051,0.00314051
86,1037.89,0.12317,0.21023,0.03945,0.95701,0.95747,0.97826,0.77601,0.2561,0.37483,0.13913,0.00310278,0.00310278,0.00310278
87,1053.86,0.1368,0.22269,0.03985,0.95614,0.95484,0.97761,0.7379,0.29182,0.39166,0.15093,0.0030649,0.0030649,0.0030649
88,1065.99,0.13469,0.22225,0.03842,0.96304,0.95914,0.98244,0.77321,0.2536,0.35515,0.1365,0.0030269,0.0030269,0.0030269
89,1077.64,0.12859,0.21562,0.03784,0.96687,0.95699,0.98035,0.77547,0.25441,0.35754,0.13769,0.00298877,0.00298877,0.00298877
90,1089.23,0.12299,0.20898,0.03808,0.96244,0.95914,0.98232,0.7787,0.24946,0.35603,0.13836,0.00295052,0.00295052,0.00295052
91,1100.89,0.12912,0.2152,0.03692,0.96032,0.95914,0.97876,0.77666,0.25025,0.36701,0.13854,0.00291218,0.00291218,0.00291218
92,1112.45,0.1109,0.19575,0.03541,0.96503,0.94953,0.9801,0.78487,0.24621,0.3597,0.13811,0.00287373,0.00287373,0.00287373
93,1124.93,0.09125,0.1734,0.02755,0.9673,0.95414,0.98238,0.77409,0.25748,0.37939,0.13697,0.0028352,0.0028352,0.0028352
94,1140.75,0.1219,0.20999,0.03593,0.96242,0.95484,0.98003,0.77885,0.24511,0.37613,0.13535,0.00279659,0.00279659,0.00279659
95,1152.39,0.09431,0.17622,0.0293,0.95417,0.95269,0.97988,0.75655,0.27312,0.38739,0.146,0.00275792,0.00275792,0.00275792
96,1163.79,0.10793,0.19234,0.03237,0.96325,0.95835,0.98183,0.7854,0.24692,0.3629,0.13846,0.00271919,0.00271919,0.00271919
97,1176.2,0.0841,0.16369,0.02909,0.96724,0.95253,0.97947,0.78509,0.24586,0.37028,0.13846,0.00268041,0.00268041,0.00268041
98,1190.98,0.0884,0.16716,0.02995,0.96038,0.95484,0.97858,0.77547,0.24747,0.38692,0.13661,0.00264159,0.00264159,0.00264159
99,1203.02,0.10383,0.19103,0.02988,0.96542,0.95484,0.97977,0.78529,0.24205,0.37534,0.13457,0.00260274,0.00260274,0.00260274
100,1214.61,0.0866,0.16591,0.02744,0.96672,0.96129,0.98411,0.77159,0.25421,0.37777,0.13756,0.00256388,0.00256388,0.00256388
101,1226.25,0.10006,0.18321,0.03048,0.96549,0.9626,0.98423,0.78867,0.2439,0.35481,0.13573,0.002525,0.002525,0.002525
102,1242.48,0.09706,0.17678,0.02805,0.96508,0.96129,0.98273,0.77469,0.25751,0.37896,0.14046,0.00248612,0.00248612,0.00248612
103,1254.22,0.12248,0.20942,0.03288,0.96542,0.95269,0.98008,0.78289,0.24856,0.36356,0.13983,0.00244726,0.00244726,0.00244726
104,1266.01,0.10783,0.1926,0.02944,0.96318,0.95639,0.98271,0.78699,0.24483,0.35451,0.1375,0.00240841,0.00240841,0.00240841
105,1277.72,0.07895,0.15704,0.02619,0.96536,0.95901,0.98186,0.78208,0.24561,0.37552,0.13517,0.00236959,0.00236959,0.00236959
106,1289.65,0.07685,0.15289,0.02336,0.9627,0.96344,0.98154,0.78658,0.23817,0.38718,0.13095,0.00233081,0.00233081,0.00233081
107,1305.77,0.09769,0.17946,0.0308,0.96159,0.95269,0.97998,0.78084,0.25217,0.39121,0.1386,0.00229208,0.00229208,0.00229208
108,1317.24,0.07109,0.14469,0.02267,0.96432,0.95484,0.98185,0.78613,0.23816,0.38293,0.13046,0.00225341,0.00225341,0.00225341
109,1333.23,0.07051,0.14359,0.02179,0.96464,0.95269,0.98193,0.7802,0.25072,0.39221,0.13714,0.0022148,0.0022148,0.0022148
110,1344.86,0.08604,0.16579,0.02474,0.96683,0.95699,0.98349,0.78897,0.23899,0.38142,0.13282,0.00217627,0.00217627,0.00217627
111,1356.53,0.10257,0.18609,0.02736,0.96108,0.956,0.9817,0.78388,0.24699,0.37928,0.13908,0.00213782,0.00213782,0.00213782
112,1368.1,0.09299,0.17379,0.02607,0.96127,0.96089,0.98499,0.79049,0.24075,0.3576,0.13789,0.00209948,0.00209948,0.00209948
113,1379.99,0.06592,0.13976,0.02032,0.96597,0.95269,0.981,0.78313,0.24337,0.37726,0.13279,0.00206123,0.00206123,0.00206123
114,1391.52,0.07545,0.15152,0.02308,0.96104,0.95914,0.98209,0.78769,0.24366,0.3773,0.1376,0.0020231,0.0020231,0.0020231
115,1403.05,0.07573,0.15129,0.02252,0.95805,0.95484,0.98382,0.78682,0.24201,0.383,0.13706,0.0019851,0.0019851,0.0019851
116,1414.5,0.07854,0.1548,0.02505,0.95894,0.95437,0.9839,0.78976,0.24052,0.38518,0.13495,0.00194722,0.00194722,0.00194722
117,1425.87,0.08236,0.16031,0.026,0.95958,0.95914,0.98442,0.78282,0.24382,0.38183,0.13462,0.00190949,0.00190949,0.00190949
118,1437.51,0.07555,0.14976,0.02207,0.96351,0.96536,0.98514,0.79173,0.23806,0.3765,0.13255,0.00187191,0.00187191,0.00187191
119,1449.59,0.06596,0.13609,0.022,0.961,0.95397,0.98437,0.78085,0.25036,0.38396,0.14044,0.0018345,0.0018345,0.0018345
120,1461.28,0.07052,0.14375,0.02225,0.96039,0.95269,0.98213,0.78585,0.24491,0.38981,0.13762,0.00179725,0.00179725,0.00179725
121,1472.86,0.08066,0.1578,0.0224,0.9547,0.9517,0.98159,0.78434,0.24192,0.38816,0.13366,0.00176018,0.00176018,0.00176018
122,1484.66,0.07095,0.14353,0.01956,0.95683,0.95339,0.98134,0.78925,0.24169,0.38083,0.13778,0.0017233,0.0017233,0.0017233
123,1496.31,0.0704,0.14337,0.02047,0.95881,0.95117,0.98339,0.78274,0.24999,0.38668,0.1423,0.00168662,0.00168662,0.00168662
124,1508.15,0.07024,0.14422,0.02051,0.96088,0.95072,0.98485,0.79139,0.24999,0.37813,0.14616,0.00165015,0.00165015,0.00165015
125,1519.53,0.06051,0.1291,0.01789,0.95705,0.95833,0.98213,0.77835,0.25389,0.39029,0.14344,0.00161389,0.00161389,0.00161389
126,1531.08,0.05973,0.12752,0.01791,0.95955,0.95484,0.98497,0.7868,0.24504,0.38395,0.13943,0.00157786,0.00157786,0.00157786
127,1542.7,0.0697,0.14163,0.01976,0.96232,0.95484,0.98485,0.78896,0.24394,0.3842,0.13609,0.00154206,0.00154206,0.00154206
128,1554.23,0.06362,0.1326,0.0192,0.95891,0.95359,0.98473,0.78305,0.24799,0.39537,0.13916,0.0015065,0.0015065,0.0015065
129,1565.79,0.05945,0.12688,0.01975,0.959,0.95484,0.98214,0.79182,0.24625,0.38668,0.14083,0.0014712,0.0014712,0.0014712
130,1577.77,0.05094,0.1133,0.01562,0.95269,0.95271,0.98143,0.79203,0.24958,0.38689,0.14637,0.00143615,0.00143615,0.00143615
131,1589.78,0.05134,0.11387,0.01565,0.95764,0.95269,0.98126,0.78386,0.25466,0.39845,0.14859,0.00140137,0.00140137,0.00140137
132,1601.44,0.05322,0.11719,0.01665,0.95701,0.95747,0.98521,0.78461,0.25091,0.40026,0.14508,0.00136687,0.00136687,0.00136687
