epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,505.019,0.35698,0.38604,0.14987,0.95479,0.90843,0.97345,0.63965,0.3796,0.4113,0.23505,0.00477536,0.00477536,0.00477536
43,516.925,0.33359,0.37792,0.15472,0.96542,0.89677,0.97238,0.65435,0.36902,0.40579,0.22019,0.00476445,0.00476445,0.00476445
44,528.503,0.35318,0.3767,0.15475,0.96304,0.89663,0.97014,0.63899,0.37644,0.41907,0.22719,0.00475329,0.00475329,0.00475329
45,540.092,0.33404,0.37394,0.14223,0.94267,0.91613,0.97193,0.62817,0.39578,0.42371,0.24334,0.00474189,0.00474189,0.00474189
46,551.926,0.40308,0.39111,0.15738,0.93716,0.93763,0.97466,0.62593,0.39892,0.40685,0.24247,0.00473024,0.00473024,0.00473024
47,563.436,0.3871,0.38838,0.15819,0.95204,0.93333,0.9805,0.60598,0.42051,0.41525,0.25102,0.00471835,0.00471835,0.00471835
48,575.032,0.39379,0.39156,0.15965,0.95176,0.93336,0.97986,0.58829,0.4355,0.42883,0.276,0.00470623,0.00470623,0.00470623
49,586.884,0.38785,0.39359,0.15554,0.95539,0.92043,0.9808,0.67464,0.35095,0.38333,0.21044,0.00469386,0.00469386,0.00469386
50,598.836,0.35453,0.38225,0.15641,0.94777,0.91613,0.97146,0.64307,0.38202,0.40862,0.23747,0.00468125,0.00468125,0.00468125
51,610.356,0.36067,0.37549,0.15112,0.95381,0.92473,0.97988,0.62048,0.40239,0.42076,0.26158,0.00466841,0.00466841,0.00466841
52,622.212,0.42581,0.39894,0.16159,0.95352,0.92657,0.97287,0.59281,0.42695,0.41624,0.27918,0.00465534,0.00465534,0.00465534
53,633.989,0.37615,0.38647,0.15376,0.95565,0.92669,0.97694,0.63265,0.39176,0.40798,0.24249,0.00464203,0.00464203,0.00464203
54,645.641,0.36467,0.38415,0.15778,0.93805,0.91828,0.97252,0.62327,0.39797,0.43017,0.24792,0.00462848,0.00462848,0.00462848
55,657.385,0.36762,0.38079,0.15271,0.94096,0.91183,0.97529,0.64039,0.38514,0.41137,0.2375,0.00461471,0.00461471,0.00461471
56,669.139,0.33249,0.3755,0.14185,0.95272,0.91183,0.97596,0.67219,0.35492,0.39739,0.21762,0.00460071,0.00460071,0.00460071
57,680.651,0.32816,0.37211,0.13924,0.94213,0.91031,0.9739,0.67821,0.3466,0.39262,0.21028,0.00458648,0.00458648,0.00458648
58,692.604,0.37812,0.38875,0.15339,0.94468,0.90968,0.97121,0.64785,0.37501,0.40273,0.23675,0.00457202,0.00457202,0.00457202
59,704.312,0.3519,0.37341,0.14873,0.93489,0.91183,0.97185,0.67032,0.35611,0.3814,0.22158,0.00455734,0.00455734,0.00455734
60,715.778,0.35345,0.37963,0.14736,0.94174,0.93862,0.97657,0.6353,0.38591,0.39829,0.24429,0.00454244,0.00454244,0.00454244
61,727.248,0.33952,0.3718,0.13944,0.95747,0.91398,0.97191,0.62803,0.39571,0.41193,0.24555,0.00452732,0.00452732,0.00452732
62,738.689,0.37599,0.38484,0.14621,0.946,0.91398,0.97244,0.63468,0.38365,0.41317,0.24258,0.00451197,0.00451197,0.00451197
63,750.378,0.34569,0.37911,0.14332,0.94878,0.91613,0.9722,0.61137,0.40918,0.43273,0.26011,0.00449641,0.00449641,0.00449641
64,761.972,0.34108,0.37228,0.1398,0.95589,0.90538,0.96701,0.61501,0.40987,0.4217,0.26324,0.00448063,0.00448063,0.00448063
65,773.63,0.34108,0.37141,0.15043,0.95377,0.91183,0.97155,0.58425,0.43909,0.43052,0.29186,0.00446464,0.00446464,0.00446464
66,785.338,0.32216,0.36845,0.13909,0.92835,0.92688,0.97001,0.59781,0.42995,0.43069,0.27702,0.00444844,0.00444844,0.00444844
