epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,546.497,0.21756,0.29711,0.08085,0.96043,0.93962,0.98328,0.76011,0.26898,0.35617,0.14492,0.00450422,0.00450422,0.00450422
43,558.05,0.20828,0.29129,0.0795,0.94028,0.95699,0.98359,0.74008,0.30055,0.37164,0.16663,0.00448063,0.00448063,0.00448063
44,569.629,0.2516,0.31904,0.09054,0.94299,0.95269,0.98364,0.77012,0.2606,0.35042,0.14531,0.00445657,0.00445657,0.00445657
45,585.657,0.23468,0.30794,0.08418,0.9521,0.94194,0.98241,0.72057,0.31461,0.3881,0.16679,0.00443202,0.00443202,0.00443202
46,597.133,0.19105,0.27608,0.07419,0.95799,0.95054,0.98652,0.77911,0.24869,0.34948,0.13596,0.004407,0.004407,0.004407
47,612.388,0.19546,0.28121,0.07387,0.96451,0.95269,0.98751,0.76422,0.2622,0.35928,0.14636,0.00438152,0.00438152,0.00438152
48,624.266,0.22518,0.3009,0.08116,0.95462,0.95008,0.98653,0.75622,0.2724,0.35269,0.14352,0.00435559,0.00435559,0.00435559
49,635.675,0.26679,0.32541,0.09028,0.92423,0.97059,0.98568,0.77324,0.25885,0.33318,0.13977,0.0043292,0.0043292,0.0043292
50,647.169,0.26021,0.31844,0.08973,0.9273,0.96006,0.98104,0.76104,0.26931,0.34944,0.1454,0.00430236,0.00430236,0.00430236
51,658.386,0.21872,0.29801,0.07877,0.91511,0.97371,0.98482,0.77508,0.25174,0.3399,0.14251,0.00427509,0.00427509,0.00427509
52,669.822,0.22159,0.29634,0.07874,0.94063,0.95054,0.9814,0.76705,0.25789,0.34975,0.13946,0.00424738,0.00424738,0.00424738
53,681.391,0.20432,0.28199,0.07555,0.94287,0.95821,0.98048,0.73777,0.29304,0.37766,0.16327,0.00421925,0.00421925,0.00421925
54,697.149,0.18433,0.27078,0.07185,0.94836,0.96559,0.9865,0.76294,0.26891,0.37021,0.14663,0.00419071,0.00419071,0.00419071
55,709.015,0.19014,0.27495,0.07077,0.95712,0.95914,0.98473,0.73666,0.29364,0.36874,0.15599,0.00416175,0.00416175,0.00416175
56,720.27,0.19727,0.27922,0.07237,0.95577,0.95269,0.98481,0.72781,0.30263,0.3787,0.16582,0.00413238,0.00413238,0.00413238
57,731.713,0.19742,0.28178,0.07365,0.94623,0.94839,0.98381,0.74592,0.28162,0.37417,0.15334,0.00410262,0.00410262,0.00410262
58,743.211,0.2232,0.2997,0.07847,0.94477,0.95914,0.98653,0.74768,0.27949,0.35889,0.14601,0.00407248,0.00407248,0.00407248
59,754.668,0.21609,0.29493,0.07707,0.93931,0.96519,0.98426,0.7768,0.25085,0.3286,0.13892,0.00404194,0.00404194,0.00404194
60,766.176,0.19665,0.27711,0.07119,0.94193,0.96344,0.9807,0.74024,0.28552,0.36361,0.15111,0.00401104,0.00401104,0.00401104
61,781.467,0.19821,0.2784,0.07082,0.95317,0.96293,0.9872,0.75591,0.27266,0.35217,0.14585,0.00397977,0.00397977,0.00397977
62,797.973,0.19053,0.2754,0.07033,0.95921,0.96084,0.9875,0.73607,0.2937,0.37318,0.15354,0.00394814,0.00394814,0.00394814
63,810.223,0.18815,0.27192,0.06969,0.96547,0.96202,0.98878,0.77154,0.25628,0.33753,0.14439,0.00391616,0.00391616,0.00391616
64,825.996,0.16759,0.25613,0.06331,0.96773,0.9673,0.9883,0.77091,0.25549,0.34829,0.13757,0.00388383,0.00388383,0.00388383
65,840.765,0.17008,0.25716,0.06455,0.95675,0.95146,0.98719,0.77484,0.25329,0.34759,0.13933,0.00385117,0.00385117,0.00385117
66,856.375,0.18344,0.26794,0.0676,0.9587,0.9485,0.98778,0.76352,0.27108,0.34716,0.14993,0.00381818,0.00381818,0.00381818
67,868.457,0.17524,0.26291,0.06516,0.96099,0.95352,0.98619,0.76313,0.26802,0.34487,0.14788,0.00378488,0.00378488,0.00378488
68,880.121,0.17383,0.26039,0.0645,0.96124,0.95997,0.98144,0.74119,0.29357,0.37157,0.15776,0.00375126,0.00375126,0.00375126
69,893.054,0.18693,0.26902,0.06552,0.96531,0.95756,0.98799,0.75866,0.27288,0.35125,0.14731,0.00371734,0.00371734,0.00371734
70,904.471,0.18673,0.27168,0.06702,0.96145,0.95914,0.98382,0.77109,0.25973,0.34878,0.14096,0.00368313,0.00368313,0.00368313
71,921.118,0.1591,0.24813,0.05958,0.94677,0.95699,0.98443,0.78339,0.24862,0.34247,0.14251,0.00364863,0.00364863,0.00364863
72,934.216,0.17165,0.2585,0.06394,0.95483,0.95465,0.98655,0.78648,0.2389,0.34138,0.13475,0.00361385,0.00361385,0.00361385
73,949.483,0.18113,0.26534,0.06534,0.95685,0.9538,0.98813,0.7894,0.23871,0.33949,0.13343,0.0035788,0.0035788,0.0035788
74,963,0.164,0.25211,0.05989,0.96344,0.95054,0.98588,0.77872,0.24299,0.35616,0.13433,0.0035435,0.0035435,0.0035435
75,978.613,0.16931,0.25605,0.06073,0.95336,0.96718,0.9852,0.78648,0.23191,0.35159,0.12902,0.00350794,0.00350794,0.00350794
76,990.328,0.18475,0.26854,0.06462,0.94704,0.96135,0.98381,0.75846,0.258,0.36952,0.13671,0.00347214,0.00347214,0.00347214
77,1001.77,0.16604,0.2524,0.05847,0.94505,0.96165,0.98232,0.78415,0.23623,0.34802,0.12832,0.00343611,0.00343611,0.00343611
78,1013.49,0.20196,0.28567,0.06877,0.9524,0.95914,0.98152,0.77918,0.24284,0.34111,0.13408,0.00339985,0.00339985,0.00339985
79,1027.24,0.1493,0.23837,0.05636,0.95826,0.95269,0.98511,0.78186,0.24893,0.34549,0.13465,0.00336338,0.00336338,0.00336338
80,1040.52,0.16307,0.25093,0.0597,0.95489,0.95599,0.98196,0.77393,0.24603,0.36955,0.13654,0.0033267,0.0033267,0.0033267
81,1052.04,0.16524,0.25273,0.05856,0.94974,0.95914,0.98355,0.7635,0.26024,0.37222,0.13683,0.00328982,0.00328982,0.00328982
82,1063.6,0.16356,0.2502,0.05917,0.94872,0.95494,0.98553,0.78499,0.23987,0.34835,0.13184,0.00325275,0.00325275,0.00325275
83,1075.19,0.15053,0.23807,0.05688,0.9591,0.9581,0.98482,0.78019,0.24455,0.35127,0.1419,0.0032155,0.0032155,0.0032155
84,1088.97,0.13425,0.22165,0.05115,0.95577,0.97596,0.98905,0.77931,0.25122,0.35023,0.14164,0.00317809,0.00317809,0.00317809
85,1103.67,0.14123,0.2294,0.0535,0.93731,0.98065,0.9899,0.77942,0.24939,0.34129,0.13944,0.00314051,0.00314051,0.00314051
86,1119,0.14724,0.23548,0.05582,0.94265,0.96989,0.98604,0.77827,0.24297,0.3477,0.13473,0.00310278,0.00310278,0.00310278
87,1132.1,0.14793,0.23646,0.05388,0.94914,0.96321,0.98595,0.78245,0.23782,0.35353,0.13068,0.0030649,0.0030649,0.0030649
88,1143.71,0.13707,0.22483,0.05171,0.95403,0.95699,0.98538,0.78678,0.245,0.3491,0.13754,0.0030269,0.0030269,0.0030269
89,1158.23,0.11996,0.2068,0.04709,0.95809,0.94624,0.9829,0.78015,0.24744,0.3632,0.13882,0.00298877,0.00298877,0.00298877
90,1170.57,0.13711,0.22438,0.05284,0.93793,0.95484,0.98302,0.78291,0.25164,0.35593,0.14224,0.00295052,0.00295052,0.00295052
91,1182.28,0.14487,0.23304,0.05341,0.95036,0.947,0.98546,0.781,0.25558,0.352,0.14176,0.00291218,0.00291218,0.00291218
92,1197.54,0.13654,0.22488,0.05128,0.94666,0.95699,0.9874,0.78792,0.24306,0.34554,0.13365,0.00287373,0.00287373,0.00287373
93,1209.11,0.14527,0.23308,0.05286,0.9406,0.94624,0.98496,0.78465,0.24131,0.35104,0.13243,0.0028352,0.0028352,0.0028352
94,1220.84,0.14716,0.23489,0.05391,0.9589,0.95337,0.98386,0.78214,0.24244,0.35219,0.136,0.00279659,0.00279659,0.00279659
95,1232.26,0.14094,0.22938,0.05269,0.95903,0.94624,0.98425,0.77506,0.25132,0.35801,0.14533,0.00275792,0.00275792,0.00275792
96,1243.65,0.1287,0.21545,0.04929,0.95416,0.95699,0.98683,0.77815,0.24955,0.35375,0.14664,0.00271919,0.00271919,0.00271919
97,1255.27,0.13879,0.22854,0.05154,0.95531,0.95914,0.98609,0.77673,0.2449,0.36484,0.13675,0.00268041,0.00268041,0.00268041
98,1266.71,0.12451,0.21085,0.04661,0.97184,0.9647,0.9875,0.77369,0.24628,0.36824,0.13684,0.00264159,0.00264159,0.00264159
99,1278.15,0.15212,0.24095,0.0532,0.96468,0.96989,0.98903,0.78638,0.23638,0.347,0.12975,0.00260274,0.00260274,0.00260274
100,1289.98,0.11865,0.20661,0.04636,0.96662,0.96989,0.98786,0.77986,0.24003,0.35782,0.1315,0.00256388,0.00256388,0.00256388
101,1301.44,0.11514,0.20224,0.04476,0.96546,0.97849,0.98973,0.79205,0.23631,0.34949,0.1297,0.002525,0.002525,0.002525
102,1313.35,0.11538,0.20205,0.04446,0.9719,0.96687,0.98982,0.78523,0.23606,0.35757,0.12997,0.00248612,0.00248612,0.00248612
103,1324.99,0.11359,0.19948,0.0442,0.9532,0.96357,0.98587,0.7834,0.24066,0.35624,0.13312,0.00244726,0.00244726,0.00244726
104,1336.76,0.10477,0.18868,0.04159,0.9569,0.95503,0.98319,0.78834,0.23434,0.35708,0.13429,0.00240841,0.00240841,0.00240841
105,1348.42,0.10679,0.19165,0.04225,0.95901,0.95587,0.98686,0.78558,0.23479,0.36721,0.12955,0.00236959,0.00236959,0.00236959
106,1360.03,0.12177,0.20991,0.04575,0.9256,0.98065,0.98816,0.7864,0.24205,0.35924,0.13513,0.00233081,0.00233081,0.00233081
107,1371.74,0.12177,0.20834,0.0453,0.95799,0.95054,0.98819,0.79348,0.23411,0.34167,0.13512,0.00229208,0.00229208,0.00229208
